Station information:
Name,Agent Number,Network Number,Latitude (dec.deg),Longitude (dec.deg),Height (m),Posn_Precision,Observing Authority
Christchurch Aero,4843,H32451,-43.493,172.537,37,G,N/A
Note: Position precision types are: "W" = based on whole minutes, "T" = estimated to tenth minute,
"G" = derived from gridref , "E" = error cases derived from gridref,
"H" = based on GPS readings (NZGD49), "D" = by definition i.e. grid points.

UserName is = raazesh.sainudiin
Total number of rows output = 20904
Number of rows remaining in subscription = 1968948
Copyright NIWA 2011 Subject to NIWA's Terms and Conditions
See: http://cliflo.niwa.co.nz/pls/niwp/doc/terms.html
Comments to: cliflo@niwa.co.nz
// Raaz's Modification of the Text File
// With vi I removed time stamps ":0800" and ":0900" 
// of the daily measurements that interrupted Matlab simple dlmread
// by substitution command ":%s/:0900//g" and ":%s/:0800//g"
// Replaced missing data character '-' with 'NaN' by ":%s/-/NaN/g" in vi
// Replaced 'NaN[0-9]' by '-[0-9]' to leave minus signs alone 
// Removed the last column of "D" for "by definition i.e. grid points"
// using ':%s/,D//g'
// also moved this block from the bottom of file to here.  
// Raaz, 
// Sun 27 Mar 2011 19:26:37 NZDT

Max_min: Daily
Stationate(NZST),Tmax(C),Period(Hrs),Tmin(C),Period(Hrs),Tgmin(C),Period(Hrs),Tmean(C),RHmean(%),Period(Hrs),Freq
4843,19540227,23.8,24,14.3,24,NaN,NaN,NaN,NaN,NaN
4843,19540228,27.8,24,12.3,24,NaN,NaN,NaN,NaN,NaN
4843,19540301,19.0,24,11.2,24,NaN,NaN,NaN,NaN,NaN
4843,19540302,23.7,24,10.2,24,NaN,NaN,NaN,NaN,NaN
4843,19540303,22.1,24,14.4,24,NaN,NaN,NaN,NaN,NaN
4843,19540304,20.4,24,14.4,24,NaN,NaN,NaN,NaN,NaN
4843,19540305,19.9,24,16.3,24,NaN,NaN,NaN,NaN,NaN
4843,19540306,20.9,24,15.5,24,NaN,NaN,NaN,NaN,NaN
4843,19540307,18.6,24,15.8,24,NaN,NaN,NaN,NaN,NaN
4843,19540308,18.6,24,14.9,24,NaN,NaN,NaN,NaN,NaN
4843,19540309,17.3,24,9.6,24,NaN,NaN,NaN,NaN,NaN
4843,19540310,16.7,24,11.1,24,NaN,NaN,NaN,NaN,NaN
4843,19540311,17.5,24,7.9,24,NaN,NaN,NaN,NaN,NaN
4843,19540312,18.9,24,13.5,24,NaN,NaN,NaN,NaN,NaN
4843,19540313,19.8,24,13.5,24,NaN,NaN,NaN,NaN,NaN
4843,19540314,25.8,24,15.6,24,NaN,NaN,NaN,NaN,NaN
4843,19540315,21.7,24,13.6,24,NaN,NaN,NaN,NaN,NaN
4843,19540316,21.1,24,9.8,24,NaN,NaN,NaN,NaN,NaN
4843,19540317,22.4,24,9.6,24,NaN,NaN,NaN,NaN,NaN
4843,19540318,26.3,24,10.4,24,NaN,NaN,NaN,NaN,NaN
4843,19540319,24.3,24,6.6,24,NaN,NaN,NaN,NaN,NaN
4843,19540320,25.6,24,7.5,24,NaN,NaN,NaN,NaN,NaN
4843,19540321,24.4,24,12.3,24,NaN,NaN,NaN,NaN,NaN
4843,19540322,22.1,24,6.7,24,NaN,NaN,NaN,NaN,NaN
4843,19540323,19.6,24,5.0,24,NaN,NaN,NaN,NaN,NaN
4843,19540324,20.6,24,7.8,24,NaN,NaN,NaN,NaN,NaN
4843,19540325,22.9,24,2.3,24,NaN,NaN,NaN,NaN,NaN
4843,19540326,20.6,24,7.3,24,NaN,NaN,NaN,NaN,NaN
4843,19540327,25.5,24,13.9,24,NaN,NaN,NaN,NaN,NaN
4843,19540328,16.3,24,4.0,24,NaN,NaN,NaN,NaN,NaN
4843,19540329,17.2,24,9.6,24,NaN,NaN,NaN,NaN,NaN
4843,19540330,16.1,24,7.3,24,NaN,NaN,NaN,NaN,NaN
4843,19540331,12.1,24,6.7,24,NaN,NaN,NaN,NaN,NaN
4843,19540401,12.2,24,2.0,24,NaN,NaN,NaN,NaN,NaN
4843,19540402,14.4,24,7.4,24,NaN,NaN,NaN,NaN,NaN
4843,19540403,13.7,24,5.6,24,NaN,NaN,NaN,NaN,NaN
4843,19540404,13.7,24,-1.8,24,NaN,NaN,NaN,NaN,NaN
4843,19540405,13.1,24,3.6,24,NaN,NaN,NaN,NaN,NaN
4843,19540406,17.1,24,5.8,24,NaN,NaN,NaN,NaN,NaN
4843,19540407,15.3,24,2.5,24,NaN,NaN,NaN,NaN,NaN
4843,19540408,21.1,24,9.0,24,NaN,NaN,NaN,NaN,NaN
4843,19540409,25.1,24,7.8,24,NaN,NaN,NaN,NaN,NaN
4843,19540410,16.3,24,10.3,24,NaN,NaN,NaN,NaN,NaN
4843,19540411,17.9,24,7.7,24,NaN,NaN,NaN,NaN,NaN
4843,19540412,16.7,24,4.6,24,NaN,NaN,NaN,NaN,NaN
4843,19540413,12.7,24,5.9,24,NaN,NaN,NaN,NaN,NaN
4843,19540414,13.8,24,0.9,24,NaN,NaN,NaN,NaN,NaN
4843,19540415,20.4,24,7.8,24,NaN,NaN,NaN,NaN,NaN
4843,19540416,22.7,24,6.7,24,NaN,NaN,NaN,NaN,NaN
4843,19540417,18.8,24,9.7,24,NaN,NaN,NaN,NaN,NaN
4843,19540418,25.2,24,9.1,24,NaN,NaN,NaN,NaN,NaN
4843,19540419,21.6,24,4.4,24,NaN,NaN,NaN,NaN,NaN
4843,19540420,16.4,24,8.6,24,NaN,NaN,NaN,NaN,NaN
4843,19540421,15.6,24,4.0,24,NaN,NaN,NaN,NaN,NaN
4843,19540422,16.0,24,7.3,24,NaN,NaN,NaN,NaN,NaN
4843,19540423,16.8,24,1.7,24,NaN,NaN,NaN,NaN,NaN
4843,19540424,12.9,24,3.8,24,NaN,NaN,NaN,NaN,NaN
4843,19540425,8.7,24,-2.1,24,NaN,NaN,NaN,NaN,NaN
4843,19540426,12.0,24,1.6,24,NaN,NaN,NaN,NaN,NaN
4843,19540427,17.9,24,6.1,24,NaN,NaN,NaN,NaN,NaN
4843,19540428,16.7,24,10.6,24,NaN,NaN,NaN,NaN,NaN
4843,19540429,13.4,24,9.1,24,NaN,NaN,NaN,NaN,NaN
4843,19540430,12.7,24,7.2,24,NaN,NaN,NaN,NaN,NaN
4843,19540501,9.8,24,6.9,24,NaN,NaN,NaN,NaN,NaN
4843,19540502,11.7,24,-1.1,24,NaN,NaN,NaN,NaN,NaN
4843,19540503,13.3,24,0.6,24,NaN,NaN,NaN,NaN,NaN
4843,19540504,16.1,24,4.0,24,NaN,NaN,NaN,NaN,NaN
4843,19540505,13.1,24,1.8,24,NaN,NaN,NaN,NaN,NaN
4843,19540506,13.7,24,4.6,24,NaN,NaN,NaN,NaN,NaN
4843,19540507,14.6,24,8.4,24,NaN,NaN,NaN,NaN,NaN
4843,19540508,13.1,24,2.4,24,NaN,NaN,NaN,NaN,NaN
4843,19540509,14.6,24,3.3,24,NaN,NaN,NaN,NaN,NaN
4843,19540510,13.9,24,4.9,24,NaN,NaN,NaN,NaN,NaN
4843,19540511,13.7,24,5.1,24,NaN,NaN,NaN,NaN,NaN
4843,19540512,13.9,24,2.2,24,NaN,NaN,NaN,NaN,NaN
4843,19540513,13.8,24,-0.6,24,NaN,NaN,NaN,NaN,NaN
4843,19540514,14.2,24,3.9,24,NaN,NaN,NaN,NaN,NaN
4843,19540515,13.5,24,2.3,24,NaN,NaN,NaN,NaN,NaN
4843,19540516,15.7,24,2.8,24,NaN,NaN,NaN,NaN,NaN
4843,19540517,12.3,24,1.4,24,NaN,NaN,NaN,NaN,NaN
4843,19540518,10.9,24,5.4,24,NaN,NaN,NaN,NaN,NaN
4843,19540519,13.4,24,7.3,24,NaN,NaN,NaN,NaN,NaN
4843,19540520,13.9,24,11.9,24,NaN,NaN,NaN,NaN,NaN
4843,19540521,13.4,24,8.9,24,NaN,NaN,NaN,NaN,NaN
4843,19540522,14.8,24,6.6,24,NaN,NaN,NaN,NaN,NaN
4843,19540523,14.9,24,6.1,24,NaN,NaN,NaN,NaN,NaN
4843,19540524,12.3,24,6.3,24,NaN,NaN,NaN,NaN,NaN
4843,19540525,13.7,24,1.2,24,NaN,NaN,NaN,NaN,NaN
4843,19540526,14.9,24,1.8,24,NaN,NaN,NaN,NaN,NaN
4843,19540527,16.6,24,0.0,24,NaN,NaN,NaN,NaN,NaN
4843,19540528,13.4,24,-0.3,24,NaN,NaN,NaN,NaN,NaN
4843,19540529,13.5,24,1.7,24,NaN,NaN,NaN,NaN,NaN
4843,19540530,13.4,24,0.6,24,NaN,NaN,NaN,NaN,NaN
4843,19540531,16.8,24,4.1,24,NaN,NaN,NaN,NaN,NaN
4843,19540601,17.1,24,2.8,24,NaN,NaN,NaN,NaN,NaN
4843,19540602,16.3,24,3.6,24,NaN,NaN,NaN,NaN,NaN
4843,19540603,13.4,24,4.4,24,NaN,NaN,NaN,NaN,NaN
4843,19540604,17.7,24,6.4,24,NaN,NaN,NaN,NaN,NaN
4843,19540605,13.7,24,6.3,24,NaN,NaN,NaN,NaN,NaN
4843,19540606,13.5,24,4.1,24,NaN,NaN,NaN,NaN,NaN
4843,19540607,11.4,24,4.9,24,NaN,NaN,NaN,NaN,NaN
4843,19540608,10.7,24,7.6,24,NaN,NaN,NaN,NaN,NaN
4843,19540609,10.3,24,8.2,24,NaN,NaN,NaN,NaN,NaN
4843,19540610,10.3,24,6.2,24,NaN,NaN,NaN,NaN,NaN
4843,19540611,10.0,24,1.4,24,NaN,NaN,NaN,NaN,NaN
4843,19540612,15.5,24,2.9,24,NaN,NaN,NaN,NaN,NaN
4843,19540613,13.8,24,4.4,24,NaN,NaN,NaN,NaN,NaN
4843,19540614,12.7,24,1.6,24,NaN,NaN,NaN,NaN,NaN
4843,19540615,17.7,24,6.7,24,NaN,NaN,NaN,NaN,NaN
4843,19540616,15.4,24,7.0,24,NaN,NaN,NaN,NaN,NaN
4843,19540617,16.8,24,7.9,24,NaN,NaN,NaN,NaN,NaN
4843,19540618,15.8,24,1.3,24,NaN,NaN,NaN,NaN,NaN
4843,19540619,7.8,24,-4.2,24,NaN,NaN,NaN,NaN,NaN
4843,19540620,10.4,24,-4.8,24,NaN,NaN,NaN,NaN,NaN
4843,19540621,10.5,24,-2.2,24,NaN,NaN,NaN,NaN,NaN
4843,19540622,13.8,24,1.7,24,NaN,NaN,NaN,NaN,NaN
4843,19540623,17.0,24,-1.5,24,NaN,NaN,NaN,NaN,NaN
4843,19540624,14.3,24,-2.1,24,NaN,NaN,NaN,NaN,NaN
4843,19540625,11.4,24,1.2,24,NaN,NaN,NaN,NaN,NaN
4843,19540626,10.4,24,1.7,24,NaN,NaN,NaN,NaN,NaN
4843,19540627,9.6,24,0.4,24,NaN,NaN,NaN,NaN,NaN
4843,19540628,10.1,24,-1.9,24,NaN,NaN,NaN,NaN,NaN
4843,19540629,10.4,24,-3.9,24,NaN,NaN,NaN,NaN,NaN
4843,19540630,11.2,24,-0.8,24,NaN,NaN,NaN,NaN,NaN
4843,19540701,9.3,24,1.2,24,NaN,NaN,NaN,NaN,NaN
4843,19540702,17.0,24,2.0,24,NaN,NaN,NaN,NaN,NaN
4843,19540703,16.6,24,-1.1,24,NaN,NaN,NaN,NaN,NaN
4843,19540704,12.1,24,-3.4,24,NaN,NaN,NaN,NaN,NaN
4843,19540705,11.5,24,-1.1,24,NaN,NaN,NaN,NaN,NaN
4843,19540706,11.4,24,-4.4,24,NaN,NaN,NaN,NaN,NaN
4843,19540707,10.1,24,-2.3,24,NaN,NaN,NaN,NaN,NaN
4843,19540708,6.1,24,3.8,24,NaN,NaN,NaN,NaN,NaN
4843,19540709,8.8,24,-1.1,24,NaN,NaN,NaN,NaN,NaN
4843,19540710,4.3,24,0.2,24,NaN,NaN,NaN,NaN,NaN
4843,19540711,7.2,24,0.7,24,NaN,NaN,NaN,NaN,NaN
4843,19540712,12.9,24,-3.7,24,NaN,NaN,NaN,NaN,NaN
4843,19540713,15.3,24,-1.4,24,NaN,NaN,NaN,NaN,NaN
4843,19540714,8.4,24,-2.6,24,NaN,NaN,NaN,NaN,NaN
4843,19540715,13.6,24,-1.0,24,NaN,NaN,NaN,NaN,NaN
4843,19540716,13.2,24,1.4,24,NaN,NaN,NaN,NaN,NaN
4843,19540717,6.7,24,4.0,24,NaN,NaN,NaN,NaN,NaN
4843,19540718,7.2,24,-1.7,24,NaN,NaN,NaN,NaN,NaN
4843,19540719,7.5,24,-0.3,24,NaN,NaN,NaN,NaN,NaN
4843,19540720,9.3,24,5.1,24,NaN,NaN,NaN,NaN,NaN
4843,19540721,9.3,24,3.2,24,NaN,NaN,NaN,NaN,NaN
4843,19540722,5.4,24,1.1,24,NaN,NaN,NaN,NaN,NaN
4843,19540723,6.9,24,-2.5,24,NaN,NaN,NaN,NaN,NaN
4843,19540724,8.6,24,-3.7,24,NaN,NaN,NaN,NaN,NaN
4843,19540725,9.8,24,-2.2,24,NaN,NaN,NaN,NaN,NaN
4843,19540726,16.7,24,2.8,24,NaN,NaN,NaN,NaN,NaN
4843,19540727,9.1,24,-2.8,24,NaN,NaN,NaN,NaN,NaN
4843,19540728,6.8,24,0.4,24,NaN,NaN,NaN,NaN,NaN
4843,19540729,7.4,24,-3.0,24,NaN,NaN,NaN,NaN,NaN
4843,19540730,9.9,24,-5.6,24,NaN,NaN,NaN,NaN,NaN
4843,19540731,10.0,24,-4.4,24,NaN,NaN,NaN,NaN,NaN
4843,19540801,8.4,24,-1.8,24,NaN,NaN,NaN,NaN,NaN
4843,19540802,8.3,24,2.7,24,NaN,NaN,NaN,NaN,NaN
4843,19540803,8.1,24,-1.4,24,NaN,NaN,NaN,NaN,NaN
4843,19540804,8.9,24,-0.1,24,NaN,NaN,NaN,NaN,NaN
4843,19540805,7.3,24,3.8,24,NaN,NaN,NaN,NaN,NaN
4843,19540806,7.3,24,1.8,24,NaN,NaN,NaN,NaN,NaN
4843,19540807,8.6,24,3.6,24,NaN,NaN,NaN,NaN,NaN
4843,19540808,8.2,24,-3.3,24,NaN,NaN,NaN,NaN,NaN
4843,19540809,9.1,24,-4.8,24,NaN,NaN,NaN,NaN,NaN
4843,19540810,7.8,24,-5.1,24,NaN,NaN,NaN,NaN,NaN
4843,19540811,11.7,24,-1.7,24,NaN,NaN,NaN,NaN,NaN
4843,19540812,16.6,24,3.3,24,NaN,NaN,NaN,NaN,NaN
4843,19540813,15.8,24,-1.9,24,NaN,NaN,NaN,NaN,NaN
4843,19540814,12.3,24,0.8,24,NaN,NaN,NaN,NaN,NaN
4843,19540815,9.6,24,2.8,24,NaN,NaN,NaN,NaN,NaN
4843,19540816,7.7,24,4.7,24,NaN,NaN,NaN,NaN,NaN
4843,19540817,8.4,24,-1.0,24,NaN,NaN,NaN,NaN,NaN
4843,19540818,9.6,24,1.2,24,NaN,NaN,NaN,NaN,NaN
4843,19540819,11.6,24,0.4,24,NaN,NaN,NaN,NaN,NaN
4843,19540820,11.8,24,4.4,24,NaN,NaN,NaN,NaN,NaN
4843,19540821,12.2,24,2.6,24,NaN,NaN,NaN,NaN,NaN
4843,19540822,14.9,24,2.8,24,NaN,NaN,NaN,NaN,NaN
4843,19540823,10.5,24,3.6,24,NaN,NaN,NaN,NaN,NaN
4843,19540824,11.5,24,7.1,24,NaN,NaN,NaN,NaN,NaN
4843,19540825,10.4,24,1.6,24,NaN,NaN,NaN,NaN,NaN
4843,19540826,18.2,24,0.0,24,NaN,NaN,NaN,NaN,NaN
4843,19540827,19.6,24,5.4,24,NaN,NaN,NaN,NaN,NaN
4843,19540828,13.4,24,0.5,24,NaN,NaN,NaN,NaN,NaN
4843,19540829,13.3,24,-1.7,24,NaN,NaN,NaN,NaN,NaN
4843,19540830,13.1,24,-1.7,24,NaN,NaN,NaN,NaN,NaN
4843,19540831,16.8,24,4.4,24,NaN,NaN,NaN,NaN,NaN
4843,19540901,9.4,24,1.1,24,NaN,NaN,NaN,NaN,NaN
4843,19540902,10.3,24,3.3,24,NaN,NaN,NaN,NaN,NaN
4843,19540903,8.5,24,-2.7,24,NaN,NaN,NaN,NaN,NaN
4843,19540904,13.4,24,-0.4,24,NaN,NaN,NaN,NaN,NaN
4843,19540905,12.7,24,2.8,24,NaN,NaN,NaN,NaN,NaN
4843,19540906,16.1,24,1.8,24,NaN,NaN,NaN,NaN,NaN
4843,19540907,13.9,24,6.3,24,NaN,NaN,NaN,NaN,NaN
4843,19540908,7.5,24,-0.6,24,NaN,NaN,NaN,NaN,NaN
4843,19540909,9.2,24,1.7,24,NaN,NaN,NaN,NaN,NaN
4843,19540910,15.2,24,-0.7,24,NaN,NaN,NaN,NaN,NaN
4843,19540911,11.3,24,4.1,24,NaN,NaN,NaN,NaN,NaN
4843,19540912,10.6,24,1.1,24,NaN,NaN,NaN,NaN,NaN
4843,19540913,12.2,24,4.0,24,NaN,NaN,NaN,NaN,NaN
4843,19540914,10.7,24,0.6,24,NaN,NaN,NaN,NaN,NaN
4843,19540915,13.6,24,3.2,24,NaN,NaN,NaN,NaN,NaN
4843,19540916,12.1,24,3.3,24,NaN,NaN,NaN,NaN,NaN
4843,19540917,11.8,24,3.5,24,NaN,NaN,NaN,NaN,NaN
4843,19540918,12.7,24,3.3,24,NaN,NaN,NaN,NaN,NaN
4843,19540919,12.7,24,7.0,24,NaN,NaN,NaN,NaN,NaN
4843,19540920,13.2,24,3.1,24,NaN,NaN,NaN,NaN,NaN
4843,19540921,19.1,24,6.7,24,NaN,NaN,NaN,NaN,NaN
4843,19540922,13.1,24,-0.1,24,NaN,NaN,NaN,NaN,NaN
4843,19540923,16.7,24,0.6,24,NaN,NaN,NaN,NaN,NaN
4843,19540924,17.8,24,1.7,24,NaN,NaN,NaN,NaN,NaN
4843,19540925,24.5,24,1.3,24,NaN,NaN,NaN,NaN,NaN
4843,19540926,22.6,24,3.9,24,NaN,NaN,NaN,NaN,NaN
4843,19540927,14.2,24,8.4,24,NaN,NaN,NaN,NaN,NaN
4843,19540928,11.9,24,5.4,24,NaN,NaN,NaN,NaN,NaN
4843,19540929,14.6,24,1.8,24,NaN,NaN,NaN,NaN,NaN
4843,19540930,16.7,24,2.8,24,NaN,NaN,NaN,NaN,NaN
4843,19541001,15.8,24,1.6,24,NaN,NaN,NaN,NaN,NaN
4843,19541002,21.0,24,4.3,24,NaN,NaN,NaN,NaN,NaN
4843,19541003,15.7,24,5.2,24,NaN,NaN,NaN,NaN,NaN
4843,19541004,21.4,24,4.9,24,NaN,NaN,NaN,NaN,NaN
4843,19541005,15.9,24,0.0,24,NaN,NaN,NaN,NaN,NaN
4843,19541006,20.8,24,4.2,24,NaN,NaN,NaN,NaN,NaN
4843,19541007,17.9,24,6.6,24,NaN,NaN,NaN,NaN,NaN
4843,19541008,22.0,24,7.2,24,NaN,NaN,NaN,NaN,NaN
4843,19541009,23.9,24,11.3,24,NaN,NaN,NaN,NaN,NaN
4843,19541010,22.9,24,3.1,24,NaN,NaN,NaN,NaN,NaN
4843,19541011,19.8,24,3.8,24,NaN,NaN,NaN,NaN,NaN
4843,19541012,19.8,24,12.2,24,NaN,NaN,NaN,NaN,NaN
4843,19541013,19.9,24,4.2,24,NaN,NaN,NaN,NaN,NaN
4843,19541014,14.6,24,-0.6,24,NaN,NaN,NaN,NaN,NaN
4843,19541015,12.8,24,1.3,24,NaN,NaN,NaN,NaN,NaN
4843,19541016,10.9,24,-4.1,24,NaN,NaN,NaN,NaN,NaN
4843,19541017,15.4,24,7.0,24,NaN,NaN,NaN,NaN,NaN
4843,19541018,14.0,24,1.4,24,NaN,NaN,NaN,NaN,NaN
4843,19541019,15.4,24,-0.4,24,NaN,NaN,NaN,NaN,NaN
4843,19541020,22.1,24,3.9,24,NaN,NaN,NaN,NaN,NaN
4843,19541021,23.2,24,8.6,24,NaN,NaN,NaN,NaN,NaN
4843,19541022,13.9,24,-0.4,24,NaN,NaN,NaN,NaN,NaN
4843,19541023,17.2,24,5.6,24,NaN,NaN,NaN,NaN,NaN
4843,19541024,25.2,24,4.3,24,NaN,NaN,NaN,NaN,NaN
4843,19541025,10.6,24,-0.1,24,NaN,NaN,NaN,NaN,NaN
4843,19541026,14.0,24,2.3,24,NaN,NaN,NaN,NaN,NaN
4843,19541027,16.2,24,1.7,24,NaN,NaN,NaN,NaN,NaN
4843,19541028,13.9,24,6.3,24,NaN,NaN,NaN,NaN,NaN
4843,19541029,12.8,24,7.6,24,NaN,NaN,NaN,NaN,NaN
4843,19541030,20.3,24,10.6,24,NaN,NaN,NaN,NaN,NaN
4843,19541031,26.2,24,8.5,24,NaN,NaN,NaN,NaN,NaN
4843,19541101,26.4,24,15.1,24,NaN,NaN,NaN,NaN,NaN
4843,19541102,24.3,24,11.3,24,NaN,NaN,NaN,NaN,NaN
4843,19541103,26.2,24,7.4,24,NaN,NaN,NaN,NaN,NaN
4843,19541104,13.9,24,3.6,24,NaN,NaN,NaN,NaN,NaN
4843,19541105,14.3,24,9.1,24,NaN,NaN,NaN,NaN,NaN
4843,19541106,21.6,24,11.6,24,NaN,NaN,NaN,NaN,NaN
4843,19541107,22.7,24,12.0,24,NaN,NaN,NaN,NaN,NaN
4843,19541108,28.9,24,9.5,24,NaN,NaN,NaN,NaN,NaN
4843,19541109,13.4,24,9.7,24,NaN,NaN,NaN,NaN,NaN
4843,19541110,15.9,24,10.7,24,NaN,NaN,NaN,NaN,NaN
4843,19541111,13.3,24,11.2,24,NaN,NaN,NaN,NaN,NaN
4843,19541112,21.6,24,10.9,24,NaN,NaN,NaN,NaN,NaN
4843,19541113,23.6,24,8.3,24,NaN,NaN,NaN,NaN,NaN
4843,19541114,19.0,24,10.6,24,NaN,NaN,NaN,NaN,NaN
4843,19541115,15.0,24,11.6,24,NaN,NaN,NaN,NaN,NaN
4843,19541116,22.7,24,12.3,24,NaN,NaN,NaN,NaN,NaN
4843,19541117,24.5,24,9.1,24,NaN,NaN,NaN,NaN,NaN
4843,19541118,19.9,24,7.7,24,NaN,NaN,NaN,NaN,NaN
4843,19541119,14.2,24,8.3,24,NaN,NaN,NaN,NaN,NaN
